EC,N,Pearson_r,R2,MAE,RMSE
EC 1,703,0.6672558393067763,0.35036344296166555,0.8995344838816046,1.1995978223466202
EC 2,67,0.7733381356414459,0.5029338078950534,0.5588904224383384,0.7403356503217726
EC 3,36,0.8854679646963499,0.3759397562011647,0.9323042419970405,1.0767803990495732
EC 4,42,0.8126871052919251,0.42206866952740185,1.0474630748490734,1.3228388409553897
EC 5,31,0.842665153279568,0.05928995048830343,1.383067464142814,1.7681934114553821
EC 6,18,0.9732820299427337,0.6147050602526944,0.931795331057326,1.1600138650175738
EC 7,1,,,1.654170511291504,1.654170511291504
Overall,898,0.7160169399453056,0.38715814160830697,0.9005304901853474,1.1973801122415764
