n_samples,pearson,r2,mae,bin,range
314,0.8861160327724559,0.7749372615774799,0.44885605448192567,low,<= -1.26
316,0.8345560585624172,0.6856755371578427,0.48112665086430556,mid,-1.26--0.61
310,0.8335836773955804,0.6888506113402189,0.4905629358735056,high,> -0.61
